Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2017,Community Maintenance and Development,Public Works,Solid Waste,C727-024,Meo II,55357
2017,Community Maintenance and Development,Public Works,Solid Waste,C727-018,Meo II,55357
2017,Community Maintenance and Development,Public Works,Solid Waste,C727-017,Meo II,55357
2017,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C727-013,Meo II,55357
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,c727-005,Meo II,50492
2017,Community Maintenance and Development,Public Works,Cemetery,C725-024,Meo III,59495
2017,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C719-001,Utility Cvr/Ctch Basn Bldr/MEO,54732
2017,Community Maintenance and Development,Public Works,Public Buildings,C716-001,Plumber II/Master,64859
2017,Community Maintenance and Development,Public Works,Public Buildings,C715-001,Plumber I/Journey,60224
2017,Community Maintenance and Development,Public Works,Public Buildings,C713-001,Workng Forepsn Plumb/MEO,76513
2017,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C711-001,Wrkg Sp/Sewer Sys.Main./MEOIIA,62200
2017,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C696-001,W.S. High Maint Crafts/MEO IIA,62200
2017,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C695-006,Highway Maint Craft/MEO I,49577
2017,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C695-004,Highway Maint Craft/MEO I,49483
2017,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C695-003,Highway Maint Craft/MEO I,54732
2017,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C695-001,Highway Maint Craft/MEO I,47788
2017,Community Maintenance and Development,Public Works,Cemetery,C689-003,Wrkg Frpsn/Diesel,62679
2017,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C689-002,Wrkg Frpsn/Diesel,62679
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C688-016,Working Foreperson,61547
2017,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C688-015,Working Foreperson,61547
2017,Community Maintenance and Development,Public Works,Public Buildings,C688-014,Working Foreperson,61547
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C688-005,Working Foreperson,61547
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C688-003,Working Foreperson,61547
2017,Community Maintenance and Development,Public Works,Public Buildings,C675-012,Painter,54732
2017,Community Maintenance and Development,Public Works,Public Buildings,C675-002,Painter,54732
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C675-001,Painter,54732
2017,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C674-008,Motor Equip Repair Person,54910
2017,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C674-007,Motor Equip Repair Person,54910
2017,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C674-006,Motor Equip Repair Person,54910
2017,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C674-004,Motor Equip Repair Person,54910
2017,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C674-002,Motor Equip Repair Person,54910
2017,Community Maintenance and Development,Public Works,Public Buildings,C666-002,Carpenter/LIC,60224
2017,Community Maintenance and Development,Public Works,Public Buildings,C666-001,Carpenter/LIC,55053
2017,Community Maintenance and Development,Public Works,Public Buildings,C665-001,Carpenter,54910
2017,Community Maintenance and Development,Public Works,Public Buildings,C644-233,Laborer,41732
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-232,Laborer,48733
2017,Community Maintenance and Development,Public Works,Public Buildings,C644-230,Laborer,44623
2017,Community Maintenance and Development,Public Works,Public Buildings,C644-222,Laborer,48733
2017,Community Maintenance and Development,Public Works,Public Buildings,C644-220,Laborer,44514
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C644-219,Laborer,48733
2017,Community Maintenance and Development,Public Works,Public Buildings,C644-218,Laborer,48733
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-216,Laborer,48517
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-212,Laborer,48733
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-209,Laborer,48733
2017,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C644-208,Laborer,48733
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-205,Laborer,48733
2017,Community Maintenance and Development,Public Works,Cemetery,C644-180,Laborer,48733
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-177,Laborer,43908
2017,Community Maintenance and Development,Public Works,Public Buildings,C644-174,Laborer,44783
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C644-166,Laborer,48733
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-156,Laborer,48733
2017,Community Maintenance and Development,Public Works,Cemetery,C644-153,Laborer,39394
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-123,Laborer,44457
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-122,Laborer,48733
2017,Community Maintenance and Development,Public Works,Public Buildings,C644-083,Laborer,39314
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C644-079,Laborer,48733
2017,Community Maintenance and Development,Public Works,Cemetery,C644-072,Laborer,48733
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-067,Laborer,48733
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-063,Laborer,48581
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-061,Laborer,48733
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C644-059,Laborer,48733
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-054,Laborer,47039
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-052,Laborer,48733
2017,Community Maintenance and Development,Public Works,Public Buildings,C644-043,Laborer,40498
2017,Community Maintenance and Development,Public Works,Public Buildings,C644-042,Laborer,48733
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-039,Laborer,48733
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-036,Laborer,48733
2017,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C644-018,Laborer,38578
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-014,Laborer,48733
2017,Community Maintenance and Development,Public Works,Solid Waste,C644-013,Laborer,48733
2017,Community Maintenance and Development,Public Works,Public Buildings,C637-001,Buildg Maint Crafts/PWD,49577
2017,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C627-002,Wrkg Frpsn Hghwy Maint Crafts,61547
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C623-001,Working Sup/Gardener/Heavy MEO,61547
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C620-003,Gardener,46944
2017,Community Maintenance and Development,Public Works,Cemetery,C613-002,Cemetery Maint Craftsperson,52377
2017,Community Maintenance and Development,Public Works,Cemetery,C613-001,Cemetery Maint Craftsperson,49577
2017,Community Maintenance and Development,Public Works,Public Buildings,C608-001,Working Forepsn Carpenter/LIC,66861
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C323-014,Park Maint Crafts/MEO I,49577
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C323-013,Park Maint Crafts/MEO I,44062
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C323-012,Park Maint Crafts/MEO I,54732
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C323-011,Park Maint Crafts/MEO I,54803
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C323-010,Park Maint Crafts/MEO I,54732
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C323-008,Park Maint Crafts/MEO I,54130
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C323-006,Park Maint Crafts/MEO I,41457
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C323-004,Park Maint Crafts/MEO I,51550
2017,Community Maintenance and Development,Public Works,Parks & Urban Forestry,C323-003,Park Maint Crafts/MEO I,49577
2017,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C175-001,Inventory Ctrl Spec (Fleet Ma,59751
2017,Community Maintenance and Development,Public Works,Administration,C092-704,Records Administrator/Police,54994
2017,Community Maintenance and Development,Public Works,Administration,C092-703,Records Administrator/Police,54994
2017,Community Maintenance and Development,Public Works,Administration,C090-009,Admin Assistant,48602
2017,Community Maintenance and Development,Public Works,Cemetery,C090-005,Admin Assistant,48602
2017,Community Maintenance and Development,Public Works,Public Buildings,C090-002,Admin Assistant,48602
2017,Community Maintenance and Development,Public Works,Engineering,A903-701,Wastewater Compliance Officer,70047
2017,Community Maintenance and Development,Public Works,Engineering,A901-702,Sewer Use Compliance Officer,68707
2017,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,A540-003,PWD Co-op Student,33091
2017,Community Maintenance and Development,Public Works,Engineering,A540-002,PWD Co-op Student,33091
2017,Community Maintenance and Development,Public Works,Engineering,A540-001,PWD Co-op Student,33091
2017,Community Maintenance and Development,Public Works,Solid Waste,A471-701,Drop Off Monitor/Recycling,38017
2017,Community Maintenance and Development,Public Works,Solid Waste,A099-001,Program Assistant/Recycling,33182
2017,Public Safety,"Traffic, Parking & Transportation",Administration,O036-701,"Dir/Traffic,Parking,Transporta",137871
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,M871-701,Assistant Coord Parking Srvce,67436
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,M545-001,Parking Svs Supervisor,58563
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,M542-001,Parking Enforcement Manager,92337
2017,Public Safety,"Traffic, Parking & Transportation",Street Management,M536-001,Asst. Dir. for Street Mngmtn.,107570
2017,Public Safety,"Traffic, Parking & Transportation",Street Management,M532-001,Engineering Manager,84509
2017,Public Safety,"Traffic, Parking & Transportation",Street Management,M222-701,Street Permit Coordinator,80390
2017,Public Safety,"Traffic, Parking & Transportation",Administration,M209-701,Personnel Analyst/Traffic,68891
2017,Public Safety,"Traffic, Parking & Transportation",Street Management,M169-701,Transportation Planner/Traffic,79743
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,M155-701,Parking Services Manager,83169
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,M140-001,Admin Hearings Officer/Tr,75335
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,M134-001,Parking Ticket Analyst,56868
2017,Public Safety,"Traffic, Parking & Transportation",Administration,M120-701,Fiscal and  Admin. Mgr/Traffic,83169
2017,Public Safety,"Traffic, Parking & Transportation",Street Management,M091-702,Traffic Engineer,79233
2017,Public Safety,"Traffic, Parking & Transportation",Street Management,M091-701,Traffic Engineer,86722
2017,Public Safety,"Traffic, Parking & Transportation",Administration,M089-701,Project Manager,64987
2017,Public Safety,"Traffic, Parking & Transportation",Administration,M064-001,Asst Dir. Parking Management,108817
2017,Public Safety,"Traffic, Parking & Transportation",Administration,M014-002,Admin Asst/Traffic,56868
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C645-051,Wrkg Frpsn/Traffic Maint,61547
2017,Public Safety,"Traffic, Parking & Transportation",Street Management,C645-004,Wrkg Frpsn/Traffic Maint,61547
2017,Public Safety,"Traffic, Parking & Transportation",Street Management,C645-002,Wrkg Frpsn/Traffic Maint,61547
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C642-002,Traffic Maintenance Worker II,57571
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C642-001,Traffic Maintenance Worker II,57571
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C641-228,Traffic Maintenance Worker I,47023
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C641-213,Traffic Maintenance Worker I,54732
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C641-022,Traffic Maintenance Worker I,54732
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C641-016,Traffic Maintenance Worker I,54246
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C641-010,Traffic Maintenance Worker I,54732
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C641-009,Traffic Maintenance Worker I,52326
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C641-008,Traffic Maintenance Worker I,54732
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C641-007,Traffic Maintenance Worker I,54732
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C641-006,Traffic Maintenance Worker I,54732
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C641-005,Traffic Maintenance Worker I,54732
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C641-001,Traffic Maintenance Worker I,54732
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C636-002,Wrkg Frpsn Pkg Meter Maint,61547
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C636-001,Wrkg Frpsn Pkg Meter Maint,61547
2017,Public Safety,"Traffic, Parking & Transportation",Administration,C610-001,Operational Foreperson,100796
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C527-001,Sr Storekeeper/Traffic,57695
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C471-002,Parking Control Supervisor,60269
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C471-001,Parking Control Supervisor,60269
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-041,Parking Control Officer,39410
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-040,Parking Control Officer,43626
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-039,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-038,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-037,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-036,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-034,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-032,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-031,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-030,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-029,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-028,Parking Control Officer,45760
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-026,Parking Control Officer,39410
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-025,Parking Control Officer,39281
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-024,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-023,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-022,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-021,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-020,Parking Control Officer,45760
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-019,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-018,Parking Control Officer,51959
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-017,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-015,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-014,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-013,Parking Control Officer,45760
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-012,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-011,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-010,Parking Control Officer,43877
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-009,Parking Control Officer,39410
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-007,Parking Control Officer,43626
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-006,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-005,Parking Control Officer,52375
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-004,Parking Control Officer,45526
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-003,Parking Control Officer,51971
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C469-002,Parking Control Officer,39410
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C140-009,Parking Violation Cashier,47882
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C140-008,Parking Violation Cashier,47882
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C140-007,Parking Violation Cashier,47882
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C140-006,Parking Violation Cashier,47882
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C140-005,Parking Violation Cashier,47882
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C140-004,Parking Violation Cashier,31921
2017,Public Safety,"Traffic, Parking & Transportation",Parking Management,C140-002,Parking Violation Cashier,35195
2017,Public Safety,"Traffic, Parking & Transportation",Street Management,C096-001,Administrative Asst/Traffic,36482
2017,Public Safety,"Traffic, Parking & Transportation",Street Management,A218-003,Traffic Investigator,54393
2017,Human Resources and Development,Veterans' Services,Administration & Benefits,O075-001,Director/Veterans Services,89848
2017,Human Resources and Development,Veterans' Services,Administration & Benefits,M251-001,Manager/Vet Benefits & Svs,77151
2017,Human Resources and Development,Veterans' Services,Administration & Benefits,C091-001,Admin Asst/Veterans,37249
2017,Community Maintenance and Development,Water,Transmission & Distribution,W727-001,MEO IIA/Operations Specialist,58920
2017,Community Maintenance and Development,Water,Transmission & Distribution,W726-026,MEO  IIA/Water,58320
2017,Community Maintenance and Development,Water,Transmission & Distribution,W726-006,MEO  IIA/Water,58320
2017,Community Maintenance and Development,Water,Transmission & Distribution,W726-002,MEO  IIA/Water,58320
2017,Community Maintenance and Development,Water,Transmission & Distribution,W696-001,Inventory Cont.Spe./Dispatch,60145
2017,Community Maintenance and Development,Water,Transmission & Distribution,W677-001,Motor Equip Repair/MEO IIA,59891
2017,Community Maintenance and Development,Water,Transmission & Distribution,W672-080,Water System Maint Crafts/Disp,59545
2017,Community Maintenance and Development,Water,Transmission & Distribution,W671-088,Water System Maint Crafts/Dist,54481
2017,Community Maintenance and Development,Water,Transmission & Distribution,W671-087,Water System Maint Crafts/Dist,54481
2017,Community Maintenance and Development,Water,Transmission & Distribution,W671-086,Water System Maint Crafts/Dist,54481
2017,Community Maintenance and Development,Water,Transmission & Distribution,W671-085,Water System Maint Crafts/Dist,54481
2017,Community Maintenance and Development,Water,Transmission & Distribution,W671-084,Water System Maint Crafts/Dist,50663
2017,Community Maintenance and Development,Water,Transmission & Distribution,W671-082,Water System Maint Crafts/Dist,54481
2017,Community Maintenance and Development,Water,Transmission & Distribution,W671-034,Water System Maint Crafts/Dist,47376
2017,Community Maintenance and Development,Water,Transmission & Distribution,W657-002,Construction Inspector,68435
2017,Community Maintenance and Development,Water,Transmission & Distribution,W657-001,Construction Inspector,68435
2017,Community Maintenance and Development,Water,Source of Supply,w655-001,Wrkg Superv/Park Maint Craf,58874
2017,Community Maintenance and Development,Water,Transmission & Distribution,W647-035,Wrkg Super/Water Sys Maint/Dtb,58952
2017,Community Maintenance and Development,Water,Transmission & Distribution,W647-033,Wrkg Super/Water Sys Maint/Dtb,53833
2017,Community Maintenance and Development,Water,Transmission & Distribution,W647-030,Wrkg Super/Water Sys Maint/Dtb,60357
2017,Community Maintenance and Development,Water,Transmission & Distribution,W647-002,Wrkg Super/Water Sys Maint/Dtb,60357
2017,Community Maintenance and Development,Water,Source of Supply,W633-001,Reservoir Caretaker I,66243
2017,Community Maintenance and Development,Water,Source of Supply,W632-001,Reservoir Caretaker II,67545
2017,Community Maintenance and Development,Water,Administration,W262-001,Cross Connection Supervisor,70306
2017,Community Maintenance and Development,Water,Administration,W224-001,Meter Technician Supervisor,59545
2017,Community Maintenance and Development,Water,Administration,W223-009,Meter Technician,58385
2017,Community Maintenance and Development,Water,Administration,O086-701,Managng Dir/Supt/Water,139128
2017,Community Maintenance and Development,Water,Source of Supply,M874-701,Production Manager/Water,88217
2017,Community Maintenance and Development,Water,Administration,M873-701,Facilities Manager,85382
2017,Community Maintenance and Development,Water,Administration,M467-702,Fiscal Coordinator/Water,63708
2017,Community Maintenance and Development,Water,Source of Supply,M296-002,Wtr Qulity Supervisor/TreaPlan,78013
2017,Community Maintenance and Development,Water,Source of Supply,M296-001,Wtr Qulity Supervisor/TreaPlan,78013
2017,Community Maintenance and Development,Water,Administration,M249-001,Engineer/Water,75175
2018,General Government,City Council,Administration,O002-704,City Councillor,79555
2017,Community Maintenance and Development,Water,Transmission & Distribution,M241-001,Dir for Distribution & Eng Op.,106475
2017,Community Maintenance and Development,Water,Administration,M237-001,Mngr/Engineering/Prog Dev,100432
2017,Community Maintenance and Development,Water,Source of Supply,M236-001,Supervisor/Water Quality,88217
2017,Community Maintenance and Development,Water,Source of Supply,M234-001,Watershed Manager,91967
2017,Community Maintenance and Development,Water,Source of Supply,M233-701,Watershed Supervisor,74043
2017,Community Maintenance and Development,Water,Source of Supply,M232-001,Dir for Water Operations,106475
2017,Community Maintenance and Development,Water,Source of Supply,M200-701,Instrumentation & Maint. Mgr,83112
2017,Community Maintenance and Development,Water,Source of Supply,M197-001,Chief Ranger/Water,50828
2017,Community Maintenance and Development,Water,Administration,M187-701,Dir for Administration,106475
2017,Community Maintenance and Development,Water,Transmission & Distribution,M153-002,Assistant Distribution Mgr,88217
2017,Community Maintenance and Development,Water,Transmission & Distribution,M153-001,Assistant Distribution Mgr,88217
2017,Community Maintenance and Development,Water,Administration,M121-701,Admin & Fiscal Operations Mgr.,70699
2017,Community Maintenance and Development,Water,Source of Supply,M035-701,Reservior System Manager,83058
2017,Community Maintenance and Development,Water,Administration,M012-701,Administrative Assistant/Water,55593
2017,Community Maintenance and Development,Water,Source of Supply,C598-004,Operator/DAF Plant,65102
2017,Community Maintenance and Development,Water,Source of Supply,C598-003,Operator/DAF Plant,65102
2017,Community Maintenance and Development,Water,Source of Supply,C598-002,Operator/DAF Plant,62425
2017,Community Maintenance and Development,Water,Source of Supply,C598-001,Operator/DAF Plant,62527
2017,Community Maintenance and Development,Water,Source of Supply,C597-004,Operation Team Ldr/DAF Plant,75697
2017,Community Maintenance and Development,Water,Source of Supply,C597-003,Operation Team Ldr/DAF Plant,75697
2017,Community Maintenance and Development,Water,Source of Supply,C597-002,Operation Team Ldr/DAF Plant,75697
2017,Community Maintenance and Development,Water,Source of Supply,C597-001,Operation Team Ldr/DAF Plant,75697
2017,Public Safety,Weights & Measures,Administration,O019-701,Sealer/Weights & Measur,90543
2018,General Government,City Clerk,Administration,M304-701,Business Prod Analyst/Prj.Mgr.,82400
2018,General Government,City Clerk,Administration,O008-701,City Clerk,139779
2018,General Government,City Clerk,Administration,O044-701,Deputy City Clerk,118610
2018,General Government,City Clerk,Administration,M433-701,Operations Mngr/City Cler,102169
2018,General Government,City Clerk,Administration,C107-703,Principal Clerk,48788
2018,General Government,City Clerk,Administration,C107-704,Principal Clerk,34802
2018,General Government,City Clerk,Administration,C107-705,Principal Clerk,48788
2018,General Government,City Clerk,Administration,C107-706,Principal Clerk,33826
2018,General Government,City Clerk,Administration,C107-708,Principal Clerk,48788
2018,General Government,City Clerk,Administration,C107-709,Principal Clerk,38375
2018,General Government,City Clerk,Administration,M103-701,Vital Records Supervisor,62630
2018,General Government,City Council,Administration,M079-701,Admin Project Assistant,65733
2018,General Government,City Council,Administration,O002-702,City Councillor,79555
2018,General Government,City Council,Administration,O002-703,City Councillor,79555
2018,General Government,City Council,Administration,O002-705,City Councillor,79555
2018,General Government,City Council,Administration,O002-706,City Councillor,79555
2018,General Government,City Council,Administration,O002-707,City Councillor,79555
2018,General Government,City Council,Administration,O002-708,City Councillor,79555
2018,General Government,City Council,Administration,O002-709,City Councillor,79555
2018,General Government,City Council,Administration,M255-701,Council Aide,50390
2018,General Government,City Council,Administration,M255-702,Council Aide,50390
2018,General Government,City Council,Administration,M255-703,Council Aide,50390
2018,General Government,City Council,Administration,M255-704,Council Aide,50390
2018,General Government,City Council,Administration,M255-705,Council Aide,50390
2018,General Government,City Council,Administration,M255-706,Council Aide,50390
2018,General Government,City Council,Administration,M255-708,Council Aide,50390
2018,General Government,City Council,Administration,M255-709,Council Aide,50390
2018,General Government,City Council,Administration,M147-710,Executive Asst To City Council,113006
2018,General Government,City Council,Administration,O001-701,Mayor,118803
2018,General Government,Election Commission,Administration,M076-701,Asst Director/Election Comm,75650
2018,General Government,Election Commission,Administration,C117-053,Clerk/Clerical Aide,28250
2018,General Government,Election Commission,Administration,M803-701,Election Commissioner,34723
2018,General Government,Election Commission,Administration,M803-702,Election Commissioner,36461
2018,General Government,Election Commission,Administration,M803-703,Election Commissioner,29176
2018,General Government,Election Commission,Administration,M803-704,Election Commissioner,36461
2018,General Government,Election Commission,Administration,M056-701,Exec Dir/Election,111795
2018,General Government,Election Commission,Administration,M068-701,Operations Manager/Election,1
2018,General Government,Election Commission,Administration,M068-702,Operations Manager/Election,67434
2018,General Government,Election Commission,Administration,C110-025,Sr Clerk & Typist,45327
2018,General Government,Election Commission,Administration,C110-026,Sr Clerk & Typist,36673
2018,General Government,Election Commission,Administration,C110-706,Sr Clerk & Typist,45842
2018,General Government,Executive,Domestic & Gender-Based Violence Prevention Initiative,M211-701,Coord. of Camb.Init.DV & GBP,73425
2018,General Government,Executive,Leadership,M066-701,Asst To City Manager,102727
2018,General Government,Executive,Leadership,O003-701,City Manager,299813
2018,General Government,Executive,Leadership,O022-701,Deputy City Manager,231650
2018,General Government,Executive,Leadership,M070-701,Exec Asst To City Mngr,77658
2018,General Government,Executive,Leadership,M070-702,Exec Asst To City Mngr,75237
2018,General Government,Executive,Leadership,M117-701,Office Manager/Executive,102385
2018,General Government,Executive,Leadership,M617-701,PTDM Planning Officer,96638
2018,General Government,Executive,Leadership,M052-701,Senior Management Analyst,102728
2018,General Government,Executive,Office of Equity and Inclusion,M148-701,Dir. of Equity and Inclusion,111538
2018,General Government,Executive,Public Information Office,M188-701,Director/Communication CommRel,123869
2018,General Government,Executive,Public Information Office,M265-701,Public Info Officer,106380
2018,General Government,Finance,Administration,O006-701,Asst City Mngr/Fiscal,192507
2018,General Government,Finance,Assessing,C094-003,Admin Asst/Fisc/Gen/Bld/R,44373
2018,General Government,Finance,Assessing,M185-004,Assessment Analyst,66272
2018,General Government,Finance,Assessing,M185-003,Assessment Analyst/CA,67657
2018,General Government,Finance,Assessing,O013-701,Assessor,120794
2018,General Government,Finance,Assessing,O026-701,Assessor/Commercial,115943
2018,General Government,Finance,Assessing,M383-001,Asst to Board of Assessors,80338
2018,General Government,Finance,Assessing,M386-701,Commercial Appraiser,89939
2018,General Government,Finance,Assessing,C088-001,Customer Service Rep/Deed Spec,57252
2018,General Government,Finance,Assessing,M380-701,Customer Srvc. Sup./Deed Spec.,70614
2018,Public Safety,Police,Patrol,P465-011,Police Officer,74558
2018,General Government,Finance,Assessing,O327-701,Dir/Assessment,165641
2018,General Government,Finance,Assessing,M418-701,Mngr. of Assessing Operations,95796
2018,General Government,Finance,Assessing,M024-002,Sr Assistant Assessor,76836
2018,General Government,Finance,Assessing,M105-001,Sr. Asst Assessor/Field Operat,89939
2018,General Government,Finance,Assessing,M106-701,Title Examiner,43286
2018,General Government,Finance,Auditing,C176-018,Account Clerk,45842
2018,General Government,Finance,Auditing,M336-001,AccT/Financial Reporti Analyst,82400
2018,General Government,Finance,Auditing,M017-001,Analyst/Auditing,66379
